[731, -372] -> [1]
[-878, 299] -> [0.5]
[15.9, -549] -> [1]
[-913, 404] -> [0.5]
[0, 679] -> [0]
[33.3, 128] -> [0.25]
[-211, 0] -> [0]
[487, 0] -> [0]
[596, 311] -> [0.25]
[666, 629] -> [0.25]
[-935, -613] -> [0.75]
[-701, -226] -> [0.75]
[-273, 804] -> [0.5]
[-272, 571] -> [0.5]
[-895, -947] -> [0.75]
[-383, 736] -> [0.5]
[95.3, 847] -> [0.25]
[-819, -960] -> [0.75]
[35.6, -84.3] -> [1]
[-418, -57.4] -> [0.75]
[775, -485] -> [1]
[503, 322] -> [0.25]
[-1.00E+3, -936] -> [0.75]
[760, -941] -> [1]
[739, -324] -> [1]
[828, 539] -> [0.25]
[449, 657] -> [0.25]
[-350, -708] -> [0.75]
[-514, 863] -> [0.5]
[563, 855] -> [0.25]
[774, -365] -> [1]
[229, -778] -> [1]
[-925, 49.2] -> [0.5]
[-590, -690] -> [0.75]
[505, 548] -> [0.25]
[692, -967] -> [1]
[-317, 315] -> [0.5]
[-28.3, 228] -> [0.5]
[-625, -436] -> [0.75]
[499, -398] -> [1]
[-666, 663] -> [0.5]
[-2.01, -18.4] -> [0.75]
[-553, -301] -> [0.75]
[695, 326] -> [0.25]
[-233, 632] -> [0.5]
[164, -216] -> [1]
[44.4, 0] -> [0]
[765, -457] -> [1]
[441, -266] -> [1]
[367, 0] -> [0]
[-327, 684] -> [0.5]
[562, -579] -> [1]
[456, -489] -> [1]
[168, 148] -> [0.25]
[416, 741] -> [0.25]
[750, 22.7] -> [0.25]
[0, 659] -> [0]
[25.8, -966] -> [1]
[-197, -58.5] -> [0.75]
[236, -767] -> [1]
[-755, 0] -> [0]
[346, -56.4] -> [1]
[0, -948] -> [0]
[-686, -707] -> [0.75]
[261, -315] -> [1]
[975, 286] -> [0.25]
[796, 940] -> [0.25]
[233, -708] -> [1]
[-477, -870] -> [0.75]
[0, 0] -> [0]
[-558, -708] -> [0.75]
[-326, -53.3] -> [0.75]
[-644, -100] -> [0.75]
[333, 0] -> [0]
[-855, -46.8] -> [0.75]
[282, -645] -> [1]
[365, -677] -> [1]
[171, -285] -> [1]
[799, -109] -> [1]
[-92.3, -278] -> [0.75]
[0, 636] -> [0]
[-434, 629] -> [0.5]
[-331, 610] -> [0.5]
[-509, -331] -> [0.75]
[0, -498] -> [0]
[-906, 7.21] -> [0.5]
[-689, 992] -> [0.5]
[800, -510] -> [1]
[-262, 997] -> [0.5]
[-588, 570] -> [0.5]
[795, -498] -> [1]
[-729, -830] -> [0.75]
[156, 890] -> [0.25]
[841, 608] -> [0.25]
[941, -913] -> [1]
[-529, 272] -> [0.5]
[397, 422] -> [0.25]
[863, 46.3] -> [0.25]
[58.6, 531] -> [0.25]
[-21.6, 615] -> [0.5]
[841, 36.2] -> [0.25]
[-421, 726] -> [0.5]
[-497, 807] -> [0.5]
[93.7, 769] -> [0.25]
[-612, -634] -> [0.75]
[-76.0, 818] -> [0.5]
[829, -784] -> [1]
[-917, -46.1] -> [0.75]
[0, -57.5] -> [0]
[148, -738] -> [1]
[-791, -70.0] -> [0.75]
[-252, 799] -> [0.5]
[-825, 564] -> [0.5]
